Model Number,Item Description,Detail Description,Overall Width,Overall Depth,Overall Height,Arm Height,Seat Height,Seat Depth,Inside Width,Weight (Wrap),Weight (Carton),Cubic Feet,COM Price,COM Yardage,Year
5230-01,"Occasional , Chair","Tight Back, Tight Seat",24-1/2,26,36,26-1/2,20,18-1/2,21,35,40,16.24,1260,3.00,2016
5239-11,Stack Chair,"Tight Back, Tight Seat",27,25,37,26,21,18,21-1/2,30,35,16.24,985,3.75,2016
5255-01,"Occasional , Chair","Tight Back, Tight Seat",32,31,39,26,19-1/2,19,18,35,45,21.69,1223,5.00,2016
5267-01,Lounge Chair,"Loose Back, Loose Seat",34,41,37-1/2,22-1/2,21,24,27,45,55,33.48,1786,8.00,2016
5282-04,"Occasional, Arm Chair",Tight Seat,26-1/2,23,41,27,20,19,21,25,30,21.35,991,1.50,2016
5283-05,"Occasional, Side Chair",Tight Seat,20-1/2,21,41,N/A,20,17,N/A,20,25,15.56,961,1.50,2016
5292-04,"Occasional, Arm Chair",Tight Seat,26-1/2,21-1/2,41,27,20,19,21,25,30,21.35,1022,1.50,2016
5293-05,"Occasional, Side Chair",Tight Seat,21,21,41,N/A,20-1/2,17-1/2,N/A,20,25,15.38,991,1.50,2016
5305-01,"Occasional , Chair","Tight Back, Tight Seat",27,33,42,26-1/2,19,19,20-1/2,35,45,22.01,954,4.00,2016
5309-01,Wing Chair,"Tight Back, Loose Seat",38-1/2,35,46,27-1/2,22-1/2,20,22-1/2,65,75,35.14,1657,9.75,2016
5315-01,"Occasional , Chair","Tight Back, Loose Seat",29-1/2,31,41,25-1/2,22,23-1/2,25,35,45,22.01,1364,4.25,2016
5322-01,"Occasional , Chair","Tight Back, Tight Seat",28-1/2,28,32,32,20-1/2,20,24,50,60,19.01,1349,5.00,2016
5324-01,"Occasional , Chair","Tight Back, Tight Seat",25,27,39-1/2,27-1/2,21,20-1/2,21,30,35,15.11,1052,2.50,2016
5327-01,Lounge Chair,"Loose Back, Loose Seat",29-1/2,32,36,23,20-1/2,20,24-1/2,40,50,20.33,1468,6.00,2016
5327-20,Ottoman,Semi-Attached Seat,29,21,19,N/A,N/A,N/A,N/A,20,25,9.40,893,4.00,2016
5352-01,Wing Chair,"Tight Back, Loose Seat",35,34-1/2,49,27,21-1/2,21,20-1/2,65,75,30.23,1694,8.25,2016
5354-04,"Occasional , Chair","Tight Back, Tight Seat",23-1/2,27,36,25-1/2,19-1/2,19-1/2,19-1/2,35,40,16.24,869,2.50,2016
5356-01,Wing Chair,"Tight Back, Loose Seat",34,35,40-1/2,24-1/2,21,20,24,65,75,27.93,1764,10.50,2016
5356-20,Ottoman,Semi-Attached Seat,30,20-1/2,17-1/2,N/A,N/A,N/A,N/A,25,30,9.51,733,4.00,2016
5357-01,"Occasional , Chair","Tight Back, Tight Seat",25,27,36-1/2,26-1/2,19-1/2,20,21,35,40,21.09,905,2.75,2016
5361-01,"Occasional , Chair","Tight Back, Tight Seat",29-1/2,34-1/2,44,26-1/2,20,21-1/2,23,60,70,27.93,1565,8.25,2016
5366-01,Wing Chair,"Tight Back, Loose Seat",34,35,40-1/2,24-1/2,21,20,24,65,75,27.93,1703,10.50,2016
5366-20,Ottoman,Semi-Attached Seat,30,20-1/2,21,N/A,N/A,N/A,N/A,25,30,9.51,715,4.00,2016
5374-01,"Occasional , Chair","Tight Back, Tight Seat",24-1/2,26-1/2,35,26,20,20,19-1/2,30,35,14.98,899,2.50,2016
5381-01,"Occasional , Chair","Tight Back, Tight Seat",29,30-1/2,42-1/2,28,20-1/2,21-1/2,19,45,55,22.01,1253,6.00,2016
5382-01,"Occasional , Chair","Tight Back, Tight Seat",30,30-1/2,42-1/2,28,20-1/2,21-1/2,20,40,50,22.01,1223,6.00,2016
5389-01,Lounge Chair,"Tight Back, Loose Seat",30,34,37,26-1/2,20-1/2,22,22-1/2,65,75,25.55,1602,9.00,2016
5392-01,Wing Chair,"Tight Back, Loose Seat",32-1/2,32-1/2,41,24,22,23-1/2,25,50,60,27.89,1816,6.25,2016
5394-01,"Occasional , Chair","Tight Back, Tight Seat",25-1/2,30,40-1/2,26,20,20,20-1/2,30,40,21.09,1156,3.25,2016
5400-01,"Occasional, Chair","Tight Back, Tight Seat",28,28,40-1/2,28-1/2,20-1/2,20,23-1/2,35,45,20.33,1015,3.25,2016
5406-05,"Occasional, Side Chair","Tight Back, Tight Seat",21,25-1/2,42-1/2,N/A,19,18-1/2,N/A,35,40,15.11,1003,3.00,2016
5408-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23-1/2,27-1/2,40-1/2,26-1/2,19,19,19,30,35,15.11,819,3.75,2016
5408-05,"Occasional, Side Chair","Tight Back, Tight Seat",23-1/2,26-1/2,40-1/2,N/A,19,19,N/A,20,25,15.11,789,3.75,2016
5409-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25-1/2,26,48,28,20-1/2,19,20-1/2,40,50,23.09,1180,4.00,2016
5409-05,"Occasional, Side Chair","Tight Back, Tight Seat",23,25-1/2,48,N/A,20-1/2,18-1/2,N/A,35,40,15.67,1134,3.75,2016
5410-01,"Occasional , Chair","Tight Back, Tight Seat",25,27,37-1/2,26-1/2,20-1/2,20,18,30,35,16.24,856,2.75,2016
5410-A2,"Occasional , Chair","Tight Back, Tight Seat",25,27,37-1/2,26-1/2,20-1/2,20,18,30,35,15.40,893,2.75,2016
5410-A4,"Occasional, Chair","Tight Back, Tight Seat",25,27,37-1/2,26-1/2,20-1/2,20,18,35,40,21.09,930,2.75,2016
5412-01,"Occasional , Chair","Tight Back, Tight Seat",26,26-1/2,37-1/2,24,19-1/2,21,23,25,40,21.09,1156,3.25,2016
5413-01,"Occasional , Chair","Tufted Back, Tight Seat",32,36-1/2,50,23,19,24,24,60,70,31.05,1510,7.50,2016
5414-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24,23,37-1/2,24,20,18-1/2,21,30,35,15.00,972,2.50,2016
5414-05,"Occasional, Side Chair","Tight Back, Tight Seat",23,23,37-1/2,N/A,20,18-1/2,N/A,25,30,15.00,942,2.50,2016
5415-01,Lounge Chair,"Tight Back, Tight Seat",30-1/2,33,44-1/2,26-1/2,20,22,23-1/2,60,70,31.05,1590,6.00,2016
5416-01,"Occasional , Chair","Tight Back, Tight Seat",31,29,46,27,21,22-1/2,22-1/2,45,55,23.38,1131,3.25,2016
5417-01,"Occasional , Chair","Tufted Back, Tight Seat",24-1/2,27,37-1/2,26,20,19,17-1/2,30,35,16.24,1009,3.00,2016
5417-A2,"Occasional , Chair","Tufted Back, Tight Seat",24-1/2,27,37-1/2,26,20,19,17-1/2,30,35,16.24,1046,3.00,2016
5417-A4,"Occasional, Chair","Tufted Back, Tight Seat",24-1/2,27,37-1/2,26,20,19,17-1/2,35,40,21.09,1083,3.00,2016
5422-01,"Occasional , Chair","Tight Back, Loose Seat",27-1/2,28-1/2,40,27-1/2,22-1/2,20-1/2,24,45,55,21.09,1168,3.25,2016
5423-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25-1/2,25,38-1/2,26-1/2,20,19-1/2,21,30,35,16.24,1049,2.50,2016
5423-05,"Occasional, Side Chair","Tight Back, Tight Seat",22-1/2,24,38-1/2,N/A,20,19,N/A,20,25,15.00,1003,2.50,2016
5424-04,"Occasional , Arm Chair","Tight Back, Tight Seat",24,23,37-1/2,24,20,18-1/2,21,25,30,15.00,997,2.50,2016
5425-01,"Occasional, Chair","Tight Back, Tight Seat",30,32,37,24,18-1/2,22-1/2,24-1/2,35,45,20.33,2037,3.00,2016
5426-01,Lounge Chair,"Tight Seat, Tight Back",30-1/2,29,41,26,19-1/2,21,21,40,50,22.01,1315,5.75,2016
5427-01,"Occasional, Chair","Tight Back, Tight Seat",23-1/2,25-1/2,39,25,20-1/2,20-1/2,19,35,40,21.09,973,2.75,2016
5428-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25,25-1/2,42-1/2,25-1/2,18,19-1/2,18-1/2,35,40,15.11,1046,2.50,2016
5428-05,"Occasional, Side Chair","Tight Back, Tight Seat",21,25-1/2,42-1/2,N/A,18,19-1/2,N/A,35,40,15.11,1015,2.50,2016
5432-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23,24,37-1/2,24-1/2,19-1/2,19,18-1/2,30,35,16.24,801,2.50,2016
5432-05,"Occasional, Side Chair","Tight Back, Tight Seat",20,23,37-1/2,N/A,18-1/2,18,N/A,25,30,15.00,771,2.50,2016
5432-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",23,24,37-1/2,24-1/2,19-1/2,19,18-1/2,30,35,16.24,875,2.50,2016
5434-04,"Occasional , Arm Chair","Tight Seat, Tight Back",24,27,38,25-1/2,19,20,20-1/2,30,35,16.24,820,2.50,2016
5434-05,"Occasional, Side Chair","Tight Seat, Tight Back",21-1/2,25,38-1/2,N/A,19,17,N/A,30,35,16.24,789,2.50,2016
5434-A4,"Occasional , Arm Chair","Tight Seat, Tight Back",24,27,38,25-1/2,19,20,20-1/2,35,40,21.09,893,2.50,2016
5436-04,"Occasional , Arm Chair","Tight Back, Tight Seat",30,28,39-1/2,24-1/2,21,20,21,35,40,21.09,1303,4.25,2016
5436-05,"Occasional, Side Chair","Tight Back, Tight Seat",25-1/2,28,39-1/2,N/A,21,20-1/2,N/A,35,40,16.24,1272,4.25,2016
5436-07,Bar Stool,"Tight Back, Tight Seat",22-1/2,24,48,N/A,31,18,21,40,45,18.56,1303,3.75,2016
5436-A2,"Occasional , Arm Chair","Tight Back, Tight Seat",30,28,39-1/2,24-1/2,21,20,21,35,40,21.09,1339,4.25,2016
5436-C7,Counter Stool,"Tight Back, Tight Seat",22-1/2,24,44,N/A,27,18,21,40,45,18.56,1303,3.75,2016
5439-01,"Occasional , Chair","Tight Back/Buttons, Tight Seat",32-1/2,31,41-1/2,25-1/2,19,20-1/2,21,55,65,22.01,1330,6.50,2016
5441-01,"Occasional , Chair","Tight Back, Tight Seat",29-1/2,30,47,25,20,21,24,50,60,23.38,1150,3.25,2016
5443-01,"Occasional , Chair","Tight Back, Tight Seat",28-1/2,30,42-1/2,26,20,20,24,45,55,22.01,1321,4.25,2016
5444-01,"Occasional , Chair","Tight Back, Loose Seat",26,28,43,25,22,20,20,45,55,22.01,1315,6.00,2016
5459-01,"Occasional , Chair","Tight Back, Tight Seat",29,30,39,27,20,21,24,45,55,22.01,1401,4.00,2016
5460-01,"Occasional , Chair",Tight Seat,26,27,38,27,19-1/2,20,20,30,35,21.09,1015,2.00,2016
5463-01,"Occasional , Chair","Tight Back, Tight Seat",27,30-1/2,42-1/2,24,18-1/2,20,20-1/2,30,40,22.01,942,3.75,2016
5465-01,"Occasional , Chair","Tight Back, Tight Seat",29,28,40,25,19,20,23,35,45,21.09,1156,3.00,2016
5466-05,"Occasional , Side Chair","Tight Back, Tight Seat",26-1/2,27,41,N/A,21-1/2,19-1/2,N/A,40,45,19.01,1349,3.75,2016
5466-35,Office Swivel,"Tight Back, Tight Seat",26-1/2,27,39-1/2 to 42-1/2,N/A,20-1/2 to 23-1/2,19-1/2,N/A,65,75,21.09,1566,3.75,2016
5471-01,"Occasional , Chair","Tight Back, Tight Seat",30,35,44,25,19,22,22,55,65,27.93,1621,5.00,2016
5473-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25-1/2,26-1/2,43,24-1/2,19-1/2,19,21,35,40,22.01,1040,2.50,2016
5473-05,"Occasional, Side Chair","Tight Back, Tight Seat",23,26-1/2,43,N/A,19-1/2,19,N/A,30,35,15.11,994,2.50,2016
5474-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25-1/2,30,46-1/2,26,21,19,21-1/2,40,50,23.38,1199,3.75,2016
5474-05,"Occasional, Side Chair","Tight Back, Tight Seat",24,30,46-1/2,N/A,21,19,N/A,30,40,23.38,1153,3.25,2016
5476-04,"Occasional , Chair","Tight Back, Tight Seat",26,27,40,26,21,20,19-1/2,35,40,19.01,1425,4.00,2016
5476-35,Office Swivel,"Tight Back, Tight Seat",26,27,38 to 41,27 to 30,21 to 24,20,19-1/2,65,75,21.09,1655,4.00,2016
5706-40,Settee,"Tight Back, Loose Seat",54-1/2,36,35,25,21-1/2,24,45,75,85,55.88,2082,11.50,2016
5709-40,Settee,"Tight Back, Tight Seat",67,26-1/2,39,N/A,20,18-1/2,N/A,75,85,62.05,1621,6.00,2016
5716-01,Lounge Chair,"Tight Back, Loose Seat",35,32-1/2,38-1/2,25,20,20-1/2,22,60,70,25.52,1516,8.00,2016
5717-40,Settee,"Tight Back, Loose Seat",60-1/2,30-1/2,29-1/2,20-1/2,22,19,51,100,110,55.88,2082,10.75,2016
5719-01,"Occasional , Chair","Tight Back, Tight Seat",26-1/2,31,37-1/2,25-1/2,19,21,19-1/2,40,50,20.33,1257,5.00,2016
5719-40,Settee,"Tight Back, Tight Seat",55-1/2,34-1/2,37,25,19,23,49-1/2,70,80,55.88,2054,9.00,2016
5729-01,Lounge Chair,"Tight Back, Loose Seat",32,34,37,25-1/2,20,21,20,55,65,25.55,1480,8.00,2016
5729-40,Settee,"Tight Back, Loose Seat",53,34,37,25-1/2,20,21,41,75,85,55.88,2113,10.25,2016
5729-50,Sofa,"Tight Back, Loose Seat",74,34,37,25-1/2,20,21,62,110,125,69.04,2520,13.50,2016
5732-40,Settee,"Tight Back, Tight Seat",50-1/2,34,41,27-1/2,19-1/2,20,43,60,70,38.96,1544,6.50,2016
5744-40,Settee,"Tight Back, Tight Seat",47,27,38-1/2,N/A,20-1/2,20-1/2,N/A,50,60,42.50,1284,6.00,2016
5750-40,Settee,"Tight Back, Tight Seat",53,29-1/2,39-1/2,20,19,19-1/2,46,80,90,35.74,1856,9.50,2016
5758-01,Lounge Chair,"Tight Back, Loose Seat",29,33-1/2,42,27-1/2,22,22,22,45,55,22.01,1504,8.00,2016
5758-40,Settee,"Tight Back, Loose Seat",54,33,42-1/2,27-1/2,21,22,47,95,110,62.50,2297,10.75,2016
5765-01,"Occasional, Chair","Tight Back, Tight Seat",24-1/2,27,46-1/2,25-1/2,20,18-1/2,20,35,40,23.38,1119,4.00,2016
5765-40,Settee,"Tight Back, Tight Seat",51,26-1/2,46-1/2,25,20,18,45,65,75,48.80,1663,7.00,2016
5781-01,"Occasional, Chair","Tight Back, Tight Seat",28-1/2,31,38,25-1/2,20,21,22,50,60,20.33,1410,4.25,2016
5781-40,Settee,"Tight Back, Tight Seat",55-1/2,29-1/2,38,26,20,21,50-1/2,70,80,42.50,2079,7.00,2016
5796-40,Settee,"Tight Back, Tight Seat",63,35-1/2,41,25-1/2,20,19-1/2,43,80,90,61.76,1960,10.75,2016
6001-01,"Occasional , Chair","Tight Back, Tight Seat",24-1/2,30,42-1/2,26,20-1/2,20-1/2,20-1/2,35,45,22.01,1027,4.25,2016
6001-A4,"Occasional , Chair","Tight Back, Tight Seat",24-1/2,30,42-1/2,26,20-1/2,20-1/2,20-1/2,35,45,22.01,1101,4.25,2016
6002-01,"Occasional, Chair","Tight Back, Tight Seat",25,29-1/2,31-1/2,25,18,21-1/2,20-1/2,40,50,20.33,1092,2.50,2016
6006-01,"Occasional, Chair","Tight Back, Tight Seat",25,26-1/2,36,26,19-1/2,19,22,25,30,16.24,908,2.75,2016
6008-01,"Occasional, Chair","Tight Back, Tight Seat",24-1/2,24-1/2,36-1/2,26,19-1/2,18,21-1/2,25,30,19.01,911,2.75,2016
6009-01,Lounge Chair,"Tight Back, Loose Seat",32,32-1/2,43,22-1/2,20,22,28,65,75,27.93,1514,6.00,2016
6010-01,Lounge Chair,"Tight Back, Loose Seat",31-1/2,32,36-1/2,26,21-1/2,22,23,50,60,25.55,1480,7.25,2016
6011-01,Lounge Chair,"Tight Back, Loose Seat",27,30,38-1/2,25-1/2,21,21,22,45,55,21.70,1376,5.25,2016
6011-20,Ottoman,Semi-Attached Seat,26,21,18-1/2,N/A,N/A,N/A,N/A,20,25,9.51,844,3.25,2016
6023-01,Lounge Chair,"Tight Back, Loose Seat",27,31-1/2,37,19-1/2,21-1/2,22-1/2,24-1/2,45,55,20.33,1498,5.25,2016
6024-A4,"Occasional, Chair","Tight Back, Tight Seat, 25-1/2, 27",,,"30
26
18
22
20-1/2",,,,,25,30,13.71,838,2.00,2016
6025-01,Lounge Chair,"Tight Back, Loose Seat, 29-1/2, 32",,,"38
27
19-1/2
20-1/2
24",,,,,60,70,25.55,1296,6.25,2016
6026-01,Lounge Chair,"Tight Back, Loose Seat, 30, 33",,,"36
24
18
22
20",,,,,65,75,25.55,1486,7.00,2016
6028-01,"Occasional, Chair","Tight Back, Tight Seat, 24-1/2, 24-1/2",,,"35
26
20
18
19",,,,,35,45,20.33,1107,3.25,2016
6030-01,"Occasional, Chair","Tight Back, Tight Seat",24-1/2,25,37-1/2,26,18-1/2,20,21,25,30,16.24,875,2.00,2016
6035-01,Lounge Chair,"Semi-Attached Back, Loose Seat",34,35,36-1/2,27,21,22,21,90,100,25.55,1626,9.25,2016
6035-31,Swivel Chair,"Semi-Attached Back, Loose Seat",34,35,36-1/2,27,21,22,21,95,105,25.55,1657,9.75,2016
6036-01,Lounge Chair,"Tight Back, Loose Seat",28-1/2,33,38-1/2,24-1/2,21,22,20,45,50,20.48,1284,5.75,2016
6038-01,"Occasional, Chair","Tight Back, Tight Seat",28,38-1/2,38,26-1/2,20,21-1/2,24-1/2,50,60,33.48,1192,4.00,2016
6042-01,"Occasional, Chair","Tight Back, Tight Seat",23,26-1/2,35,26-1/2,20,18-1/2,20,25,30,14.98,838,2.00,2016
6044-01,"Occasional, Chair","Tight Back, Tight Seat",29,31,39,26-1/2,20,20,17-1/2,35,45,22.01,1146,5.00,2016
6044-A4,"Occasional, Chair","Tight Back, Tight Seat",29,31,39,26-1/2,20,20,17-1/2,35,45,22.01,1220,5.00,2016
6045-01,"Occasional, Chair","Tufted Back, Tufted Seat",24,31,35-1/2,N/A,19-1/2,20,N/A,30,35,16.24,1131,5.25,2016
6064-01,"Occasional, Chair","Tight Back, Tight Seat",25-1/2,28-1/2,41,27-1/2,20,19,19,40,50,21.35,1046,4.75,2016
6065-01,Lounge Chair,"Tight Back, Loose Seat",29-1/2,33-1/2,38,25,20-1/2,23,28,45,55,25.55,1553,7.25,2016
6066-01,Lounge Chair,"Loose Back, Loose Seat",31-1/2,35,40-1/2,24-1/2,21-1/2,21,25-1/2,55,65,27.93,1657,9.50,2016
6066-20,Ottoman,Semi-Attached Seat,27,23,20,N/A,N/A,N/A,N/A,25,30,9.51,832,3.25,2016
6067-01,"Occasional, Chair","Tight Back, Tight Seat",21-1/2,24,33-1/2,25,20,17,19,20,25,14.98,838,2.00,2016
6069-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25,25-1/2,38,26,20,17-1/2,22,30,35,16.24,893,4.00,2016
6069-05,"Occasional, Side Chair","Tight Back, Tight Seat",22-1/2,25-1/2,38,N/A,20,17-1/2,N/A,25,30,16.24,862,4.00,2016
6069-35,"Executive, Swivel","Tight Back, Tight Seat",22-1/2,26,35-1/2 to 38-1/2,N/A,18 to 21,18,N/A,45,50,19.01,1092,4.00,2016
6070-35,"Executive, Swivel","Tight Back, Tight Seat",23,27-1/2,36-1/2 to 40,N/A,19 to 22-1/2,18,N/A,35,40,19.01,969,3.75,2016
6074-01,"Occasional, Chair","Tight Back, Tight Seat",28-1/2,29,38,24-1/2,21-1/2,19-1/2,21,40,50,20.33,1254,4.75,2016
6078-01,"Occasional, Chair","Tufted Back, Tight Seat",25-1/2,29-1/2,45,21,20-1/2,18-1/2,18,40,50,23.38,1330,5.75,2016
6080-01,"Occasional, Chair","Tight Back, Tight Seat",26,25,33,26,19-1/2,20,21-1/2,50,55,19.01,1061,3.75,2016
6080-A4,"Occasional, Chair","Tight Back, Tight Seat",26,25,33,26,19-1/2,20,21-1/2,50,55,19.01,1135,3.25,2016
6081-01,Lounge Chair,"Loose Back, Loose Seat",31,36,39,25,19-1/2,23,24-1/2,75,85,25.55,1376,6.00,2016
6089-01,"Occasional, Chair","Tight Back, Tight Seat",30,29,33,25,18-1/2,20-1/2,20,40,50,25.55,1303,4.75,2016
6091-01,"Occasional, Chair","Tight Back, Tight Seat",27,27,35-1/2,25,20,20,19-1/2,50,60,21.09,1150,4.00,2016
6094-04,"Occasional, Arm Chair","Tight Back, Tight Seat",21-1/2,21-1/2,32-1/2,26,19,19-1/2,19,25,30,16.24,804,2.50,2016
6094-05,"Occasional, Side Chair","Tight Back, Tight Seat",22,22-1/2,32-1/2,N/A,19,19-1/2,N/A,30,35,13.71,774,2.50,2016
6097-01,Lounge Chair,"Loose Back, Loose Seat",37-1/2,34-1/2,36-1/2,24-1/2,21,20,22,65,75,32.16,1516,9.00,2016
6098-A4,"Occasional, Chair","Tight Back, Tight Seat",27,25,36,25-1/2,20,19-1/2,21,35,40,19.01,1275,3.00,2016
6099-01,"Occasional, Chair","Tight Back, Tight Seat",23,23-1/2,34-1/2,26,20,18-1/2,19,25,30,14.98,807,2.00,2016
6101-31,Swivel Chair,"Tight Back, Loose Seat",33-1/2,34-1/2,35,27,20-1/2,22,21,60,70,25.55,1351,8.50,2016
6118-01,Lounge Chair,"Tight Back, Loose Seat",29,32,32,27,21,22,22,55,65,25.55,1330,6.25,2016
6118-31,Swivel Chair,"Tight Back, Loose Seat",29,32,32,27,21,22,22,55,65,25.55,1330,6.25,2016
6121-31,Swivel Chair,"Tight Back, Loose Seat",33-1/2,34,37-1/2,27,21-1/2,21,23,75,85,25.55,1418,7.25,2016
7003-33,"Recliner **, Recl. Depth: 68""","Semi-Attached Bk, Loose Seat",31,40,42,25,21-1/2,22,21-1/2,105,115,33.75,2235,11.25,2016
7003-ER,"Motorized Recl., Recl. Depth: 68""","Semi-Attached Back, Tight Seat",31,41,42,25,21-1/2,20-1/2,21,105,115,33.75,2618,11.25,2016
7004-33,"Recliner **, Recl. Depth: 69""","Semi-Attached Bk, Loose Seat",35,42,43-1/2,27-1/2,21-1/2,21-1/2,22,110,125,33.75,2388,11.50,2016
7004-ER,"Motorized Recl., Recl. Depth: 69""","Semi-Attached Back, Tight Seat",35,42,43-1/2,27-1/2,21-1/2,21-1/2,22,130,145,35.21,2863,11.50,2016
7023-33,"Recliner, Recl. Depth: 69""","Tight Back, Loose Seat",33-1/2,39,42,25-1/2,21-1/2,22-1/2,22,105,115,35.14,2100,10.75,2016
7023-ER,"Motorized Recl., Recl. Depth: 70""","Tight Back, Loose Seat",31-1/2,40-1/2,44,26-1/2,22,20-1/2,21,90,100,35.14,2529,10.75,2016
7056-33,"Recliner **, Recl. Depth: 64-1/2","Tight Back, Tight Seat",33-1/2,35-1/2,42-1/2,27,18-1/2,19-1/2,22,130,145,33.75,1993,10.50,2016
7056-ER,"Motorized Recl., Recl. Depth: 64-1/2""","Tight Back, Loose Seat",33-1/2,35-1/2,42-1/2,27,18-1/2,19-1/2,22,,,,2437,10.50,2016
7058-33,"Recliner, Recl. Depth: 66-1/2""","Semi-Attached Back, Loose Seat",31-1/2,40-1/2,44-1/2,26-1/2,22,20,22,105,115,35.14,2330,10.75,2016
7058-ER,"Motorized Recl., Recl. Depth: 66-1/2""","Semi-Attached Back, Loose Seat",32,41,44-1/2,26,22,20-1/2,21-1/2,105,115,35.14,2758,10.75,2016
7830-01,"Occasional, Chair","Tight Back, Tight Seat",23,27-1/2,37-1/2,25,19,19,19,30,35,16.24,930,2.50,2016
7830-40,Settee,"Tight Back, Tight Seat",54,27-1/2,37-1/2,25,19,19,50,40,85,42.50,1471,4.25,2016
8060-01,"Occasional, Chair","Tight Back, Tight Seat",28,31-1/2,38-1/2,25-1/2,20,23,23,30,40,20.78,1015,3.00,2016
8104-B7,Bistro Stool,"Tight Back, Tight Seat",20,22-1/2,42-1/2,N/A,26,17,N/A,30,35,13.50,942,2.50,2016
8106-20,Ottoman,Tight Seat,22-1/2,18-1/2,20,N/A,N/A,N/A,N/A,30,35,9.51,789,2.50,2016
8199-35,"Office, Swivel","Tight Back, Tight Seat",24-1/2,23,32 to 35-1/2,21-1/2 to 25,17 to 20-1/2,18-1/2,22-1/2,30,35,16.24,1590,3.00,2016
8199-A4,"Occasional, Chair","Tight Back, Tight Seat",24-1/2,23,36-1/2,25,20,18,21,30,35,16.24,1346,3.00,2016
8216-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24,28,35,25,19,20-1/2,21,35,40,19.01,893,2.50,2016
