Model Number,Item Description,Detail Description,Overall Width,Overall Depth,Overall Height,Arm Height,Seat Height,Seat Depth,Inside Width,Weight (Wrap),Weight (Carton),Cubic Feet,COM Price,COM Yardage,Year
8250-01,"Occasional, Chair","Tight Back, Tight Seat",24-1/2,26-1/2,38-1/2,26,18-1/2,19,18,30,35,16.24,881,3.00,2016
8250-A4,"Occasional, Chair","Tight Back, Tight Seat",24-1/2,26-1/2,38-1/2,26,18-1/2,19,18,35,40,14.98,954,3.00,2016
8272-04,"Occasional, Arm Chair","Tight Back, Tight Seat",21,24,35-1/2,25-1/2,18,16-1/2,19,30,35,13.50,716,2.00,2016
8272-05,"Occasional, Side Chair","Tight Back, Tight Seat",21,24,35-1/2,N/A,18,16-1/2,N/A,25,30,15.00,685,2.00,2016
8272-A2,"Dining, Arm Chair","Tight Back, Tight Seat",21,24,35-1/2,25-1/2,18,16-1/2,19,30,35,13.50,752,2.00,2016
8272-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",21,24,35-1/2,25-1/2,18,16-1/2,19,30,35,13.50,789,2.00,2016
8272-S4,"Occasional, Side Chair","Tight Back, Tight Seat",21,24,35-1/2,N/A,18,16-1/2,N/A,25,30,15.00,758,1.50,2016
8304-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25-1/2,23-1/2,37-1/2,24-1/2,19,18-1/2,19,30,35,21.09,771,2.50,2016
8304-05,"Occasional, Side Chair","Tight Back, Tight Seat",21-1/2,23-1/2,37-1/2,N/A,19,18-1/2,N/A,30,35,21.09,740,2.50,2016
8304-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",25-1/2,23-1/2,37-1/2,24-1/2,19,18-1/2,19,30,35,21.09,844,2.00,2016
8304-S4,"Occasional, Side Chair","Tight Back, Tight Seat",21-1/2,23-1/2,37-1/2,N/A,19,18-1/2,N/A,30,35,21.09,813,2.00,2016
8309-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,25,39,28,19-1/2,18,21,30,35,21.09,966,2.00,2016
8309-05,"Occasional , Side Chair","Tight Back, Tight Seat",22,25,39,N/A,19-1/2,18,N/A,25,30,16.45,875,2.00,2016
8318-04,"Occasional, Arm Chair","Tight Back , Tight Seat",23-1/2,26,38-1/2,26,19,21,21,25,30,16.24,887,2.50,2016
8318-05,"Occasional, Side Chair","Tight Back , Tight Seat",22-1/2,26,38-1/2,N/A,19,21,N/A,25,30,16.24,856,2.50,2016
8319-01,"Occasional, Chair","Tight Back, Tight Seat",21,24-1/2,36-1/2,N/A,21-1/2,21,N/A,25,30,15.00,819,3.25,2016
8321-01,"Occasional, Chair","Tight Back, Tight Seat",22,24-1/2,35-1/2,N/A,19-1/2,18-1/2,N/A,25,30,13.50,819,3.75,2016
8322-01,"Occasional , Chair","Tight Back, Tight Seat",25-1/2,25-1/2,33,26,20-1/2,20,20-1/2,35,40,14.98,1083,2.50,2016
8324-07,Bar Stool,"Tight Back, Tight Seat",18-1/2,20-1/2,44-1/2,N/A,31,16-1/2,N/A,25,30,20.25,905,1.75,2016
8324-C7,"Counter, Stool","Tight Back, Tight Seat",18-1/2,20-1/2,40-1/2,N/A,28,16-1/2,N/A,25,30,15.00,905,1.75,2016
8326-04,"Occasional, Arm Chair",Tight Seat,23,23,38,25,19-1/2,19,20-1/2,25,30,15.00,814,1.50,2016
8326-05,"Occasional , Side Chair",Tight Seat,20,23,38,N/A,19-1/2,19,N/A,20,25,15.00,783,1.50,2016
8326-07,Bar Stool,Tight Seat,18-1/2,20-1/2,44-1/2,N/A,31,17-1/2,N/A,20,25,20.25,862,1.75,2016
8326-C7,"Counter , Stool",Tight Seat,18-1/2,20-1/2,40,N/A,27,17,N/A,30,35,15.00,862,1.75,2016
8328-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23-1/2,25,38,26,19-1/2,18-1/2,20-1/2,25,30,15.00,905,2.50,2016
8329-01,"Occasional, Chair","Tight Back, Tight Seat",21,24-1/2,36-1/2,N/A,21-1/2,21,N/A,25,30,15.00,850,3.25,2016
8329-07,Bar Stool,"Tight Back, Tight Seat",20,22-1/2,45-1/2,N/A,30,17-1/2,N/A,35,40,20.25,893,3.25,2016
8329-C7,"Counter, Stool","Tight Back, Tight Seat",20,22-1/2,42,N/A,26-1/2,17-1/2,N/A,35,40,18.56,893,3.25,2016
8331-01,"Occasional, Chair",Tight Seat,19,21-1/2,34,N/A,20,17,N/A,20,25,13.50,624,1.50,2016
8334-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24,25,38,26-1/2,19-1/2,19,20-1/2,30,35,16.24,899,1.75,2016
8334-05,"Occasional, Side Chair","Tight Back, Tight Seat",23,24,38,N/A,19-1/2,19,N/A,25,30,16.24,869,1.75,2016
8336-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25,23-1/2,38,26-1/2,19-1/2,19,20-1/2,35,40,19.01,881,2.50,2016
8336-05,"Occasional, Side Chair","Tight Back , Tight Seat",20,24-1/2,38,N/A,19-1/2,19,N/A,25,30,15.00,850,2.50,2016
8337-01,"Occasional, Chair","Tight Back, Loose Seat",26,26-1/2,34,24,20-1/2,20-1/2,20,35,40,19.01,1272,4.25,2016
8338-04,"Occasional, Arm Chair","Tight Back , Tight Seat",23-1/2,26,38-1/2,26,19,21,21,25,30,16.24,887,2.50,2016
8338-05,"Occasional, Side Chair","Tight Back , Tight Seat",22-1/2,26,38-1/2,N/A,19,21,N/A,25,30,16.24,856,2.50,2016
8338-A4,"Occasional, Arm Chair","Tight Back , Tight Seat",23-1/2,26,38-1/2,26,19,21,21,25,30,16.24,960,2.50,2016
8339-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,25,39,28,19-1/2,18,21,30,35,21.09,991,2.00,2016
8339-05,"Occasional, Side Chair","Tight Back, Tight Seat",22,25,39,N/A,19-1/2,18,N/A,25,30,16.45,899,2.00,2016
8339-40,Settee,"Tight Back, Tight Seat",48,26-1/2,38-1/2,28,19-1/2,18,42-1/2,75,85,47.49,1612,4.00,2016
8340-11,Stack Chair,"Tight Back, Tight Seat",21-1/2,24,34-1/2,26-1/2,19,17-1/2,19,25,30,13.50,844,2.00,2016
8362-04,"Occasional , Arm Chair",Tight Seat,24-1/2,22-1/2,38,25,20-1/2,18,20-1/2,25,30,15.00,808,1.50,2016
8362-05,"Occasional, Side Chair",Tight Seat,21-1/2,22-1/2,38,N/A,20-1/2,18,N/A,25,30,15.00,777,1.50,2016
8362-07,Bar Stool,Tight Seat,18-1/2,20-1/2,44-1/2,N/A,31,17,N/A,30,35,20.25,856,1.50,2016
8362-C7,"Counter, Stool",Tight Seat,18-1/2,20-1/2,40-1/2,N/A,28,17,N/A,25,30,15.19,856,1.50,2016
8363-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,23,38,24-1/2,20,17-1/2,20-1/2,30,35,16.24,875,2.50,2016
8363-05,"Occasional, Side Chair","Tight Back, Tight Seat",21-1/2,23,37,N/A,19-1/2,18,N/A,25,30,15.00,844,2.50,2016
8363-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,23,38,24-1/2,20,17-1/2,20-1/2,30,35,16.24,948,2.50,2016
8365-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,23,38,24-1/2,20,17-1/2,20-1/2,25,30,16.24,875,2.50,2016
8365-05,"Occasional, Side Chair","Tight Back, Tight Seat",21-1/2,23,37,N/A,20,17-1/2,N/A,25,30,15.00,844,2.50,2016
8365-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,23,38,24-1/2,20,17-1/2,20-1/2,25,30,16.24,948,2.50,2016
8366-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24,23-1/2,38-1/2,26,21,18-1/2,21,30,35,16.24,875,1.75,2016
8366-05,"Occasional, Side Chair","Tight Back, Tight Seat",21,23-1/2,38-1/2,N/A,21,18-1/2,N/A,25,30,15.00,844,1.75,2016
8366-07,Bar Stool,"Tight Back, Tight Seat",18-1/2,21,44-1/2,N/A,31,17,N/A,35,40,20.25,905,1.75,2016
8366-C7,"Counter, Stool","Tight Back, Tight Seat",18-1/2,21,40-1/2,N/A,27-1/2,17,N/A,25,30,15.19,905,1.75,2016
8368-04,"Occasional , Arm Chair","Tight Back, Tight Seat",24-1/2,27,40,26-1/2,20,19,21,35,40,21.09,911,2.50,2016
8368-05,"Occasional, Side Chair","Tight Back, Tight Seat",23-1/2,26,40,N/A,19,18,N/A,30,35,15.11,881,2.50,2016
8368-A2,"Occasional , Arm Chair","Tight Back, Tight Seat",24-1/2,27,40,26-1/2,20,19,21,35,40,21.09,948,2.50,2016
8368-A4,"Occasional , Arm Chair","Tight Back, Tight Seat",24-1/2,27,40,26-1/2,20,19,21,35,40,21.09,985,2.50,2016
8370-01,"Occasional, Chair",Tight Seat,21-1/2,22,34,27,19-1/2,19,18-1/2,30,35,13.50,765,1.50,2016
8375-01,"Occasional, Chair","Tight Back, Tight Seat",27,29,34-1/2,27,20-1/2,20,19-1/2,40,50,19.01,1192,5.75,2016
8378-04,"Occasional, Arm Chair","Tight Back, Tight Seat",22,24,36,26,19,17-1/2,19,30,35,13.50,918,2.50,2016
8378-05,"Occasional, Side Chair","Tight Back, Tight Seat",21-1/2,24,36,N/A,19-1/2,17-1/2,N/A,20,25,15.00,887,2.50,2016
8379-01,"Occasional, Chair","Tight Back, Tight Seat",24-1/2,28,37-1/2,23,19-1/2,19,18,35,45,21.09,997,4.00,2016
8379-35,Office Swivel,"Tight Back, Tight Seat",24-1/2,28,33 to 36,18-1/2 to 21-1/2,16-1/2 to 19-1/2,19,18,55,65,19.01,1211,4.00,2016
8381-04,"Occasional, Chair","Tight Back, Tight Seat",24,25,41,25-1/2,19,18-1/2,19,35,40,15.11,1076,2.75,2016
8381-A4,"Occasional, Chair","Tight Back, Tight Seat",24,25,41,25-1/2,19,18-1/2,19,35,40,21.09,1150,2.75,2016
8384-04,"Occasional, Arm Chair","Tight Back, Tight Seat",26,26,38,26,21,19,20-1/2,30,40,21.09,930,2.75,2016
8384-05,"Occasional, Side Chair","Tight Back, Tight Seat",24,23,37-1/2,N/A,20,18,N/A,30,35,16.24,899,2.75,2016
8389-01,"Occasional, Chair","Tufted Back, Tight Seat",24-1/2,28,37-1/2,23,19-1/2,19,18,35,45,21.09,1101,4.00,2016
8389-35,Office Swivel,"Tight Back, Tight Seat",24-1/2,28,33 to 36,18-1/2 to 21-1/2,16-1/2 to 19-1/2,19,18,55,65,19.01,1278,4.00,2016
8398-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25-1/2,25,42,27,19-1/2,19,20,35,40,22.14,973,2.50,2016
8398-05,"Occasional, Side Chair","Tight Back, Tight Seat",22-1/2,23-1/2,41-1/2,N/A,19,18,N/A,40,45,15.11,942,2.50,2016
8403-04,"Occasional, Arm Chair","Tight Back, Tight Seat",25,26,39-1/2,23-1/2,20-1/2,18-1/2,17,30,35,21.09,1076,3.75,2016
8403-05,"Occasional, Side Chair","Tight Back, Tight Seat",23-1/2,26,39-1/2,N/A,20-1/2,18-1/2,N/A,25,30,16.66,1015,3.25,2016
8403-A2,"Occasional, Arm Chair","Tight Back, Tight Seat",25,26,39-1/2,23-1/2,20-1/2,18-1/2,17,30,35,21.09,1113,3.75,2016
8411-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23,23,36-1/2,26,19-1/2,17-1/2,19,30,35,16.24,838,2.50,2016
8411-05,"Occasional, Side Chair","Tight Back, Tight Seat",23,24,36-1/2,N/A,19-1/2,18,N/A,25,30,16.24,807,2.50,2016
8411-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",23,23,36-1/2,26,19-1/2,17-1/2,19,30,35,16.24,911,2.50,2016
8444-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,26-1/2,38-1/2,25,18-1/2,18-1/2,19-1/2,30,35,21.09,838,2.50,2016
8484-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23,25,38,26,20,19-1/2,19-1/2,35,40,16.24,911,2.50,2016
8484-05,"Occasional, Side Chair","Tight Back, Tight Seat",23-1/2,24,38-1/2,N/A,19-1/2,19-1/2,N/A,30,35,16.24,881,2.50,2016
8484-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",23,25,38,26,20,19-1/2,19-1/2,35,40,16.24,985,2.50,2016
8486-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23,24-1/2,38,26-1/2,20-1/2,19,20,30,35,16.24,911,2.50,2016
8486-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",23,24-1/2,38,26-1/2,20-1/2,19,20,30,35,16.24,985,2.50,2016
8499-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23-1/2,23,41-1/2,27,20,17-1/2,20,30,35,15.11,862,2.00,2016
8499-05,"Occasional, Side Chair","Tight Back, Tight Seat",23,22-1/2,41-1/2,N/A,19-1/2,18,N/A,25,30,15.75,832,2.00,2016
8504-QH,"Queen, Headboard",,62,3-1/2,57,N/A,N/A,N/A,N/A,65,65,12.99,1284,5.75,2016
8504-KH,"King, Headboard",,78,3-1/2,59,N/A,N/A,N/A,N/A,75,75,16.25,1330,5.75,2016
8505-QH,"Queen, Headboard",,62,3-1/2,57,N/A,N/A,N/A,N/A,70,70,12.99,1284,6.25,2016
8505-KH,"King, Headboard",,78,3-1/2,59,N/A,N/A,N/A,N/A,80,80,16.25,1330,7.25,2016
8506-QH,"Queen, Headboard",,62,3-1/2,63,N/A,N/A,N/A,N/A,65,65,14.05,1284,6.00,2016
8506-KH,"King, Headboard",,78,3-1/2,64-1/2,N/A,N/A,N/A,N/A,75,75,17.58,1330,6.50,2016
8514-QH,"Queen, Headboard",,62,3-1/2,57,N/A,N/A,N/A,N/A,65,65,12.99,1253,5.75,2016
8514-KH,"King, Headboard",,78,3-1/2,59,N/A,N/A,N/A,N/A,75,75,16.25,1299,5.75,2016
8515-QH,"Queen, Headboard",,62,3-1/2,57,N/A,N/A,N/A,N/A,70,70,12.99,1253,6.25,2016
8515-KH,"King, Headboard",,78,3-1/2,59,N/A,N/A,N/A,N/A,80,80,16.25,1299,7.25,2016
8516-QH,"Queen, Headboard",,62,3-1/2,63,N/A,N/A,N/A,N/A,65,65,14.05,1253,6.00,2016
8516-KH,"King, Headboard",,78,3-1/2,64-1/2,N/A,N/A,N/A,N/A,75,75,17.58,1299,6.50,2016
8525-QH,"Queen, Headboard",,62-1/2,3,57,N/A,N/A,N/A,N/A,70,70,12.99,1605,3.75,2016
8525-KH,"King, Headboard",,78-1/2,3,59,N/A,N/A,N/A,N/A,80,80,16.25,1651,4.00,2016
8535-QH,"Queen, Headboard",,62-1/2,3,57,N/A,N/A,N/A,N/A,70,70,12.99,1575,3.75,2016
8535-KH,"King, Headboard",,78-1/2,3,59,N/A,N/A,N/A,N/A,80,80,16.25,1621,4.00,2016
8545-QH,"Queen, Headboard",,70,10,66,N/A,N/A,N/A,61-1/2,125,125,37.25,2850,10.25,2016
8545-QB,"Queen, Bed Rails","Fits , 8545-QH Only",68,85,13-1/2,N/A,N/A,N/A,N/A,45,45,1.95,1229,4.00,2016
8545-KH,"King, Headboard",,86,10,66,N/A,N/A,N/A,77-1/2,135,135,37.25,3184,11.25,2016
8545-KB,"King, Bed Rails","Fits , 8545-KH Only",84,87,13-1/2,N/A,N/A,N/A,82,60,60,1.95,1306,4.00,2016
8700-04,"Occasional , Arm Chair","Tight Back, Tight Seat",23-1/2,23-1/2,38,25,19,19-1/2,20,30,35,16.24,832,2.75,2016
8700-A4,"Occasional , Arm Chair","Tight Back, Tight Seat",23-1/2,23-1/2,38,25,19,19-1/2,20,30,35,16.24,905,2.75,2016
8702-04,"Occasional , Arm Chair","Tight Back, Tight Seat",24-1/2,24,37-1/2,26-1/2,19,18-1/2,20-1/2,30,35,16.24,899,2.50,2016
8703-01,"Occasional, Chair","Tight Back, Tight Seat",26-1/2,28-1/2,35,25,17-1/2,20,18,30,35,19.01,1162,3.25,2016
8704-01,"Occasional, Chair","Tight Back, Tight Seat",26,26,32,25,19-1/2,19-1/2,19,35,40,21.09,1088,4.25,2016
8705-04,"Occasional , Arm Chair","Tight Back, Tight Seat",23,23-1/2,39,25-1/2,19-1/2,18-1/2,19,20,40,16.45,887,2.50,2016
8705-05,"Occasional, Side Chair","Tight Back, Tight Seat",22,23-1/2,39,N/A,19-1/2,18-1/2,N/A,25,30,15.00,856,2.50,2016
8708-01,"Occasional  , Chair","Tight Back, Tight Seat",25,25-1/2,36,26,19,19,20,30,35,16.24,832,2.50,2016
8710-04,"Occasional , Arm Chair","Tight Back, Tight Seat",21-1/2,23-1/2,38,25,19-1/2,18,18-1/2,25,30,15.00,832,1.75,2016
8710-A4,"Occasional , Arm Chair","Tight Back, Tight Seat",21-1/2,23-1/2,38,25,19-1/2,18,18-1/2,25,30,15.00,869,1.75,2016
8718-04,"Occasional, Arm Chair","Tight Back, Tight Seat",22-1/2,25,38-1/2,25-1/2,19-1/2,19-1/2,20,25,30,16.24,911,2.75,2016
8718-05,"Occasional, Side Chair","Tight Back, Tight Seat",22,24-1/2,38-1/2,N/A,19-1/2,19-1/2,N/A,30,35,15.00,881,2.75,2016
8720-04,"Occasional, Chair","Tight Back, Tight Seat",23,23-1/2,31-1/2,25-1/2,19-1/2,20-1/2,18-1/2,25,40,21.09,1076,3.25,2016
8720-06,Bar Stool,"Tight Back, Tight Seat",23,23-1/2,42,36,30,20-1/2,18-1/2,40,45,18.56,1153,3.00,2016
8720-C6,"Counter , Stool","Tight Back, Tight Seat",23,23-1/2,38,32,26,20-1/2,18-1/2,35,40,19.01,1153,3.75,2016
8721-04,"Occasional , Arm Chair","Tight Back, Tight Seat",24,25,39-1/2,25-1/2,19,19,20,35,40,16.66,838,2.75,2016
8721-05,"Occasional, Side Chair","Tight Back, Tight Seat",24,24-1/2,39,N/A,19-1/2,19-1/2,N/A,30,35,16.45,807,2.75,2016
8722-11,"Arm, Stack Chair","Tight Back, Tight Seat",25,22,39,25-1/2,19,17,19,30,35,16.24,820,2.00,2016
8732-01,"Occasional, Chair","Tight Back, Tight Seat",26,24-1/2,33,26,19-1/2,19-1/2,21,35,40,14.98,1064,2.50,2016
8732-A4,"Occasional, Chair","Tight Back, Tight Seat",26,24-1/2,33,26,19-1/2,19-1/2,21,35,40,14.98,1138,2.50,2016
8736-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23-1/2,25-1/2,38,25-1/2,19,19-1/2,20,25,30,16.24,905,2.50,2016
8736-05,"Occasional, Side Chair","Tight Back, Tight Seat",24,26,37-1/2,N/A,19,19-1/2,N/A,25,30,16.24,881,2.50,2016
8738-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,22-1/2,34,25-1/2,19-1/2,18,20,30,35,14.98,801,2.50,2016
8746-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24,22,33-1/2,26,18-1/2,18,20-1/2,30,35,13.50,820,2.50,2016
8746-11,"Arm , Stack Chair","Tight Back, Tight Seat",24-1/2,21,33-1/2,26,18-1/2,17,21,35,40,16.24,789,2.00,2016
8748-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23,22-1/2,34,26,19-1/2,19,19-1/2,30,35,14.98,881,2.50,2016
8748-06,Bar Stool,"Tight Back, Tight Seat",22,22,43-1/2,35-1/2,32,18,18-1/2,20,25,12.18,966,3.00,2016
8748-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",23,22-1/2,34,26,19-1/2,19,19-1/2,30,35,14.98,954,2.50,2016
8748-C6,Counter Stool,"Tight Back, Tight Seat",22,22,39,31,26,18,18-1/2,,,,966,3.00,2016
8756-04,"Occasional , Chair","Tight Back, Tight Seat",25,26,37,26,19,19,20,30,35,21.09,997,3.00,2016
8761-04,"Occasional , Chair","Tight Back, Tight Seat",23-1/2,25,39-1/2,25-1/2,19,19-1/2,19-1/2,30,35,16.66,942,2.75,2016
8761-A4,"Occasional , Chair","Tight Back, Tight Seat",23-1/2,25,39-1/2,25-1/2,19,19-1/2,19-1/2,,,,1015,2.75,2016
8762-01,"Occasional  , Chair","Tight Back, Tight Seat",24,23,36-1/2,25-1/2,19-1/2,18,20-1/2,35,40,16.24,930,3.00,2016
8763-05,"Occasional, Side Chair","Tight Back, Tight Seat",18,22-1/2,35-1/2,N/A,20,17-1/2,N/A,20,25,13.50,832,2.00,2016
8768-05,"Occasional, Side Chair","Tight Back, Tight Seat",18,22-1/2,35-1/2,N/A,20,17-1/2,N/A,20,25,13.50,777,2.00,2016
8770-04,"Occasional , Arm Chair","Tight Back, Tight Seat",22,23-1/2,36-1/2,26-1/2,18-1/2,18,20,25,30,16.24,820,2.50,2016
8771-04,"Occasional , Arm Chair","Tight Back, Tight Seat",22,23-1/2,36-1/2,26-1/2,18-1/2,18,20,30,35,15.00,820,2.50,2016
8772-04,"Occasional, Arm Chair","Tight Back, Tight Seat",22-1/2,24,33,25-1/2,19,19,19-1/2,30,35,14.98,862,2.50,2016
8772-06,Bar Stool,"Tight Back, Tight Seat",21-1/2,23,44,36-1/2,30,19-1/2,18-1/2,40,45,18.56,985,2.50,2016
8772-C6,"Counter , Stool","Tight Back, Tight Seat",21-1/2,23,40,32-1/2,26,19-1/2,18-1/2,25,30,34.00,985,2.50,2016
8772-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",22-1/2,24,33,25-1/2,19,19,19-1/2,30,35,14.98,936,2.50,2016
8778-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,24-1/2,38-1/2,26-1/2,19,18,19-1/2,30,35,16.24,875,2.50,2016
8778-05,"Occasional, Side Chair","Tight Back, Tight Seat",23-1/2,23-1/2,38-1/2,N/A,19-1/2,18,N/A,25,30,15.00,844,2.50,2016
8778-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",24-1/2,24-1/2,38-1/2,26-1/2,19,18,19-1/2,30,35,16.24,948,2.50,2016
8780-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23-1/2,25,39-1/2,25-1/2,19,18,20-1/2,30,35,16.24,918,2.50,2016
8780-06,Bar Stool,"Tight Back, Tight Seat",23,23-1/2,50-1/2,36-1/2,30,17,20,30,35,24.50,1003,2.50,2016
8780-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",23-1/2,25,39-1/2,25-1/2,19,18,20-1/2,,,,991,2.50,2016
8780-C6,Counter Stool,"Tight Back, Tight Seat",23,23-1/2,46-1/2,32,26,17,20,30,35,24.50,1003,2.50,2016
8783-11,"Arm, Stack Chair","Tight Back, Tight Seat",23,23,40,25-1/2,19,18-1/2,20,30,35,16.24,856,2.50,2016
8784-04,"Occasional, Chair","Tight Back, Tight Seat",27,24-1/2,30-1/2,25,19-1/2,20,19,35,40,21.60,1272,5.00,2016
8784-A4,"Occasional, Chair","Tight Back, Tight Seat",27,24-1/2,30-1/2,25,19-1/2,20,19,35,40,21.09,1345,5.00,2016
8785-04,"Occasional, Arm Chair","Tight Back, Tight Seat",22-1/2,23,37,26,19-1/2,18,18-1/2,25,30,15.00,820,2.50,2016
8788-04,"Occasional, Arm Chair","Tight Back, Tight Seat",23,24,40,25-1/2,19,19,20,30,35,16.24,875,2.50,2016
8788-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",23,24,40,25-1/2,19,19,20,30,35,16.24,948,2.50,2016
8790-04,"Occasional, Arm Chair","Tight Back, Tight Seat",24,25-1/2,38,26,19,19,20,35,40,16.24,905,2.50,2016
8790-05,"Occasional, Side Chair","Tight Back, Tight Seat",24,25-1/2,38,N/A,19,19,N/A,35,40,16.24,875,2.50,2016
8790-A4,"Occasional, Arm Chair","Tight Back, Tight Seat",24,25-1/2,38,26,19,19,20,35,40,16.24,979,2.50,2016
8793-11,"Arm, Stack Chair","Tight Back, Tight Seat",23,24,39-1/2,25-1/2,19,18-1/2,20,30,35,15.00,856,2.50,2016
8798-04,"Occasional , Arm Chair","Tight Back, Tight Seat",23,25-1/2,40-1/2,25,19-1/2,20,20,35,40,19.01,875,2.00,2016
8966-01,"Lounge, Chair","Tight Back, Loose Seat",40,36-1/2,36,25-1/2,19-1/2,20,23,95,105,31.44,1519,9.25,2016
8966-20,Ottoman,Semi-Attached Seat,24,18,17-1/2,N/A,N/A,N/A,N/A,35,40,9.51,752,2.75,2016
8966-50,Sofa,"Tight Back, Loose Seat",85,36-1/2,36,25-1/2,19-1/2,20,68,160,185,79.34,2367,15.50,2016
8966-60,"Queen, Sleeper","Tight Back, Loose Seat",85,36-1/2,36,25-1/2,19-1/2,20,68,235,250,79.34,2902,15.00,2016
8966-70,Loveseat,"Tight Back, Loose Seat",61-1/2,36-1/2,36,25-1/2,19-1/2,20,44-1/2,130,145,60.41,2190,12.50,2016
